 ,Misc (2021),SSE 2020,Computer Science (2022),Computer Science (2022),"Finance, Statistics (2021)",Biology (2023),DMD (2021),Finance and Computer Science (2021),"Biology, Nutrition (2022)","Computer Science, Philosophy (2021)",PPE & GSWS (2020),"Statistics, OIDD (2020)",Business Analytics (2020),Computer Science (2021),Computer Science (2022),Chemical and Bioengineering (2022),biology (2022),Computer Science (2020),DMD (2020),English (2021),Business Analytics (2020),"Computer Science, Marketing (2022)","Computer Science, ECON (2021)",Computer Science (2022),Chemistry (2023),Computer Science (2021),Political Science (2022),Business Analytics (2022),DMD 2021,Finance 2021,"Statistics, OIDD (2020)",DMD (2021),PPE (2021),Communications (2021),"Urban Studies, Computer Science (2022)",Econ (2023),Misc (2022),"Bioengineering, Computer Science",Computer Science (2021),Computer Science (2021),Systems Engineering (2023),"BBB, Biology (2020)",Fine Arts (2023),Computer Science (2022),DMD (2021),Statistics (2021),Finance (2022),International Studies and Business (2023),BBB (2022),Computer Science (2021),BBB (2021),"Business Analytics, Finance (2022)",BBB (2023),Computer Science (2023),Political Science (2020),Bioengineering (2021),PPE (2023),Computer Science,"Computer Science, Statisticsistics (2022)",DMD (2021),DMD (2021),Computer Science (2021),"Economics, Finance (2020)",BBB (2022),Misc,Cognitive Science (2023),Misc,"Political Science, History (2023)",Bioengineering (2023),Cognitive Science (2021),"Business Analytics, Statistics, Computer Science (2021)",Political Science (2021),"Computer Science, Marketing (2023)","Mechanical Engineering, 2022",Computer Science (2021),"Computer Science, Finance, Math (2022)",DMD (2021),Misc (2023),Mathematical Economics (2021),Nursing (2020),"Finance, Systems Engineering (2022)",Computer Science (2022),PPE (2021),Katie Busch,BBB (2020),Finance (2022),Computer Science (2022),"Finance, Bioengineering (2022)",Computer Science (2021),Computer Science (2023),Misc (2023),Commications (2023),Computer Science (2022),Computer Science (2021),Wharton 20222,"Nursing, Nutrition (2021)",Finance (2022),BBB (2022),Nursing (2022),Brendan Yoo,jess ling,Computer Science (2022),Computer Science (2022),Computer Science (2022),"English, Political Science (2021)",Nursing 2021
2/17/20 0:00,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO
2/17/20 1:00,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO
2/17/20 2:00,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,YES,NO,YES
2/17/20 3:00,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
2/17/20 4:00,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES
2/17/20 5:00,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES
2/17/20 6:00,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO
2/17/20 7:00,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO
2/17/20 8:00,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO
2/17/20 9:00,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO
2/17/20 10:00,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO
2/17/20 11:00,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
2/17/20 12:00,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2/17/20 13:00,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2/17/20 14:00,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2/17/20 15:00,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2/17/20 16:00,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
2/17/20 17:00,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
2/17/20 18:00,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
2/17/20 19:00,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2/17/20 20:00,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2/17/20 21:00,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2/17/20 22:00,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
2/17/20 23:00,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO
2/18/20 0:00,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO
2/18/20 1:00,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO
2/18/20 2:00,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO
2/18/20 3:00,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO
